Nafn,Skor,Stig
Stefán Helgi Einarsson,21.52,100
Kristján Guðjónsson,22.12,90
Heiðar Heiðarsson,22.55,80
Daði Heimisson,23.06,70
Hörður Orri Grettisson,23.32,60
Ingvar Svavarsson,23.4,50
