Nafn,Skor,Stig
Stefán Helgi Einarsson,4.31,90
Ingvar Svavarsson,5.21,80
Hörður Orri Grettisson,6.42,70
Kristján Guðjónsson,7.23,60
Daði Heimisson,8.06,50
Heiðar Heiðarsson,0.0,0
