Nafn,Skor,Stig
Stefán Helgi Einarsson,0.0,100
Heiðar Heiðarsson,0.0,100
Kristján Guðjónsson,0.0,100
Ingvar Svavarsson,0.0,100
Hörður Orri Grettisson,0.0,100
Daði Heimisson,0.0,100
