Nafn,Skor,Stig
Stefán Helgi Einarsson,9.46,100
Heiðar Heiðarsson,10.5,90
Ingvar Svavarsson,11.22,80
Hörður Orri Grettisson,12.12,70
Kristján Guðjónsson,13.19,60
Daði Heimisson,13.21,50
