Nafn,Skor,Stig
Ingvar Svavarsson,3.01,100
Kristján Guðjónsson,3.06,90
Heiðar Heiðarsson,3.17,80
Hörður Orri Grettisson,3.18,70
Stefán Helgi Einarsson,3.25,60
Daði Heimisson,3.4,50
