Nafn,Skor,Stig
Stefán Helgi Einarsson,6.31,90
Ingvar Svavarsson,6.43,80
Hörður Orri Grettisson,7.26,70
Kristján Guðjónsson,8.22,60
Daði Heimisson,8.24,50
Heiðar Heiðarsson,0.0,0
