Nafn,Skor,Stig
Anna Svavarsdóttir,1.0,100
Erla Guðmundsdóttir,2.0,90
Rakel Tryggvadóttir,3.0,80
Sigrún Nanna Karlsdóttir,4.0,70
Andrea Ósk Guðlaugsdóttir,5.0,60
