Nafn,Skor,Stig
Anna Svavarsdóttir,10.31,100
Erla Guðmundsdóttir,11.28,90
Rakel Tryggvadóttir,15.16,80
Sigrún Nanna Karlsdóttir,15.45,70
Andrea Ósk Guðlaugsdóttir,15.52,60
