Nafn,Skor,Stig
Anna Svavarsdóttir,5.22,100
Erla Guðmundsdóttir,6.53,90
Andrea Ósk Guðlaugsdóttir,8.04,80
Rakel Tryggvadóttir,8.31,70
Sigrún Nanna Karlsdóttir,8.42,60
