Nafn,Skor,Stig
Erla Guðmundsdóttir,6.35,100
Anna Svavarsdóttir,6.5,90
Sigrún Nanna Karlsdóttir,8.01,80
Rakel Tryggvadóttir,8.04,70
Andrea Ósk Guðlaugsdóttir,8.09,60
