Nafn,Skor,Stig
Anna Svavarsdóttir,3.42,100
Erla Guðmundsdóttir,3.47,90
Sigrún Nanna Karlsdóttir,3.55,80
Rakel Tryggvadóttir,4.06,70
Andrea Ósk Guðlaugsdóttir,4.4,60
