Nafn,Skor,Stig
Tindur Elíasen,4.53,80
Ari Tómas Hjálmarsson,5.31,70
Aðalsteinn Þorsteinsson,6.25,60
Tryggvi Freyr Magnússon,7.1,50
Þórbergur Hlynsson,0.0,0
Almar Daði Harðarson,0.0,0
