Nafn,Skor,Stig
Tindur Elíasen,11.16,100
Aðalsteinn Þorsteinsson,11.22,90
Tryggvi Freyr Magnússon,13.45,80
Ari Tómas Hjálmarsson,13.49,70
Þórbergur Hlynsson,15.53,60
Almar Daði Harðarson,16.36,50
