Nafn,Skor,Stig
Ari Tómas Hjálmarsson,6.02,80
Tindur Elíasen,6.18,70
Tryggvi Freyr Magnússon,8.13,60
Aðalsteinn Þorsteinsson,8.23,50
Þórbergur Hlynsson,0.0,0
Almar Daði Harðarson,0.0,0
