Nafn,Skor,Stig
Aðalsteinn Þorsteinsson,21.24,100
Tindur Elíasen,22.08,90
Þorbergur Hlynsson,23.24,80
Almar Daði Harðarson,24.18,70
Tryggvi Freyr Magnússon,25.0,60
Ari Tómas Hjálmarsson,30.0,50
