Nafn,Skor,Stig
Tindur Elíasen,1.0,80
Ari Tómas Hjálmarsson,2.0,70
Tryggvi Freyr Magnússon,3.0,60
Aðalsteinn Þorsteinsson,4.0,50
Þórbergur Hlynsson,0.0,0
Almar Daði Harðarson,0.0,0
