Nafn,Skor,Stig
Þórbergur Hlynsson,3.01,100
Tindur Elíasen,3.11,90
Ari Tómas Hjálmarsson,3.12,80
Aðalsteinn Þorsteinsson,3.17,70
Tryggvi Freyr Magnússon,3.33,60
Almar Daði Harðarson,3.55,50
