Nafn,Skor,Stig
Kristín Kristjánsdóttir,2.34,100
Hrönn Birgisdóttir,2.53,90
Ingibjörg Gísladóttir,2.58,80
Ingibjörg Jónsdóttir,3.31,70
Jóhanna Jóhannsdóttir,4.29,60
