Nafn,Skor,Stig
Ingibjörg Gísladóttir,2.46,100
Ingibjörg Jónsdóttir,2.5,90
Kristín Kristjánsdóttir,2.51,80
Hrönn Birgisdóttir,2.55,70
Jóhanna Jóhannsdóttir,2.57,60
