Nafn,Skor,Stig
Kristín Kristjánsdóttir,3.3,100
Hrönn Birgisdóttir,4.34,90
Ingibjörg Jónsdóttir,4.54,80
Ingibjörg Gísladóttir,5.24,70
Jóhanna Jóhannsdóttir,6.43,60
