Nafn,Skor,Stig
Kristín Kristjánsdóttir,7.36,100
Ingibjörg Gísladóttir,7.42,90
Ingibjörg Jónsdóttir,10.23,80
Hrönn Birgisdóttir,11.45,70
Jóhanna Jóhannsdóttir,16.15,60
