Nafn,Skor,Stig
Ingibjörg Gísladóttir,1.0,100
Kristín Kristjánsdóttir,2.0,90
Ingibjörg Jónsdóttir,3.0,80
Hrönn Birgisdóttir,4.0,70
Jóhanna Jóhannsdóttir,5.0,60
