Nafn,Skor,Stig
Ingibjörg Jónsdóttir,17.14,100
Ingibjörg Gísladóttir,17.3,90
Kristín Kristjánsdóttir,18.03,80
Hrönn Birgisdóttir,18.25,70
Jóhanna Jóhannsdóttir,20.18,60
