Nafn,Skor,Stig
Alma Káradóttir,9.57,100
Kristín Sif Björgvinsdóttir,13.3,90
Hildur Guðný Káradóttir,14.17,80
Erla Júlía Jónsdóttir,15.14,70
Bjarný Þorvarðardóttir,15.16,60
