Nafn,Skor,Stig
Alma Káradóttir,3.26,100
Kristín Sif Björgvinsdóttir,3.52,90
Hildur Guðný Káradóttir,3.54,80
Bjarný Þorvarðardóttir,4.11,70
Erla Júlía Jónsdóttir,4.26,60
