Nafn,Skor,Stig
Alma Káradóttir,5.29,100
Kristín Sif Björgvinsdóttir,7.37,90
Bjarný Þorvarðardóttir,8.05,80
Hildur Guðný Káradóttir,8.06,70
Erla Júlía Jónsdóttir,8.56,60
