Nafn,Skor,Stig
Alma Káradóttir,5.53,100
Bjarný Þorvarðardóttir,8.13,90
Hildur Guðný Káradóttir,8.18,80
Kristín Sif Björgvinsdóttir,8.35,70
Erla Júlía Jónsdóttir,8.42,60
