Nafn,Skor,Stig
Alma Káradóttir,24.16,100
Hildur Guðný Káradóttir,25.15,90
Bjarný Þorvarðardóttir,26.28,80
Erla Júlía Jónsdóttir,26.4,70
Kristín Sif Björgvinsdóttir,30.12,60
