Nafn,Skor,Stig
Kristín Sif Björgvinsdóttir,1.0,100
Alma Káradóttir,2.0,90
Bjarný Þorvarðardóttir,3.0,80
Erla Júlía Jónsdóttir,4.0,70
Hildur Guðný Káradóttir,5.0,60
