Nafn,Skor,Stig
Bergrós Björnsdóttir,3.22,100
Hulda Finnbogadóttir,3.54,90
Emilía Nótt Davíðsdóttir,4.18,80
Ísabella Ýr Pétursdóttir,6.21,70
