Nafn,Skor,Stig
Guðrún Lilja Dagbjartsdóttir,110.0,100
Bergrós Björnsdóttir,100.0,95
Emiliá Nótt Davíðsdóttir,87.0,90
Hulda Finnbogadóttir,77.0,85
