Nafn,Skor,Stig
Bergrós Björnsdóttir,1.44,90
Emilía Nótt Davíðsdóttir,3.3,80
Hulda Finnbogadóttir,4.07,70
Ísabella Ýr Pétursdóttir,0.0,0
