Nafn,Skor,Stig
Bergrós Björnsdóttir,7.51,100
Emilía Nótt Davíðsdóttir,13.57,90
Hulda Finnbogadóttir,15.16,80
Ísabella Ýr Pétursdóttir,59.59,70
