Nafn,Skor,Stig
Sigurður Jónsson,8.38,100
Ingimar Jónsson,8.59,90
Óskar Marínó,9.04,80
Ægir Björn Gunnsteinsson,9.33,70
Axel Guðni Sigurðsson,10.22,60
Garðar Karl Ólafsson,10.49,50
Benjamín Eiríksson,11.58,40
Alex Daði Reynisson,12.06,30
Eggert Ólafsson,12.07,20
