Nafn,Skor,Stig
Alex Daði Reynisson,2.13,100
Eggert Ólafsson,2.37,90
Ægir Björn Gunnsteinsson,3.09,80
Sigurður Jónsson,3.11,70
Óskar Marínó,3.2,60
Ingimar Jónsson,3.23,50
Garðar Karl Ólafsson,3.31,40
Axel Guðni Sigurðsson,3.47,30
Benjamín Eiríksson,3.55,20
