Nafn,Skor,Stig
Sigurður Jónsson,5.15,100
Ægir Björn Gunnsteinsson,5.19,90
Eggert Ólafsson,5.23,80
Ingimar Jónsson,5.3,70
Axel Guðni Sigurðsson,5.3,70
Alex Daði Reynisson,5.31,50
Óskar Marínó,5.41,40
Benjamín Eiríksson,5.57,30
Garðar Karl Ólafsson,6.12,20
