Nafn,Skor,Stig
Ingimar Jónsson,24.22,100
Axel Guðni Sigurðsson,25.09,90
Benjamín Eiríksson,25.14,80
Garðar Karl Ólafsson,25.16,70
Eggert Ólafsson,25.29,60
Ægir Björn Gunnsteinsson,25.41,50
Sigurður Jónsson,25.59,40
Óskar Marínó,26.4,30
Alex Daði Reynisson,33.02,20
