Nafn,Skor,Stig
Ingimar Jónsson,13.45,100
Ægir Björn Gunnsteinsson,14.17,90
Óskar Marínó,14.29,80
Axel Guðni Sigurðsson,14.32,70
Sigurður Jónsson,14.35,60
Eggert Ólafsson,14.52,50
Garðar Karl Ólafsson,15.05,40
Alex Daði Reynisson,16.04,30
Benjamín Eiríksson,16.24,20
