Nafn,Skor,Stig
Alex Daði Reynisson,1.0,100
Garðar Karl Ólafsson,2.0,90
Sigurður Jónsson,3.0,80
Benjamín Eiríksson,4.0,70
Ingimar Jónsson,5.0,60
Axel Guðni Sigurðsson,6.0,50
Eggert Ólafsson,7.0,40
Ægir Björn Gunnsteinsson,8.0,30
Óskar Marínó,8.0,30
