Nafn,Skor,Stig
Jóhanna Júlía Júlíusdóttir,24.15,100
Guðbjörg Valdimarsdóttir,24.48,90
Sólrún Sigþórsdóttir,25.28,80
Sigríður Sjöfn Ingvarsdóttir,26.28,70
Hallgerður María Friðriksdóttir,26.48,60
Guðrún Bjarnadóttir,27.0,50
Ingibjörg Malmquist,27.09,40
Dísa Edwards,27.26,30
Bryndís María Björnsdóttir,27.5,20
Birta Líf Þórarinsdóttir,59.59,10
