Nafn,Skor,Stig
Guðbjörg Valdimarsdóttir,2.54,100
Hallgerður María Friðriksdóttir,2.59,90
Birta Líf Þórarinsdóttir,3.09,80
Jóhanna Júlía Júlíusdóttir,3.31,70
Guðrún Bjarnadóttir,3.36,60
Ingibjörg Malmquist,4.03,50
Sigríður Sjöfn Ingvarsdóttir,4.05,40
Bryndís María Björnsdóttir,4.33,30
Dísa Edwards,4.56,20
Sólrún Sigþórsdóttir,5.27,10
