Nafn,Skor,Stig
Jóhanna Júlía Júlíusdóttir,8.16,100
Hallgerður María Friðriksdóttir,8.26,90
Guðbjörg Valdimarsdóttir,8.45,80
Bryndís María Björnsdóttir,8.45,80
Birta Líf Þórarinsdóttir,9.06,60
Sólrún Sigþórsdóttir,9.24,50
Sigríður Sjöfn Ingvarsdóttir,9.57,40
Ingibjörg Malmquist,10.12,30
Dísa Edwards,10.47,20
Guðrún Bjarnadóttir,11.23,10
