Nafn,Skor,Stig
Guðbjörg Valdimarsdóttir,1.0,100
Hallgerður María Friðriksdóttir,2.0,90
Bryndís María Björnsdóttir,2.0,90
Guðrún Bjarnadóttir,4.0,70
Birta Líf Þórarinsdóttir,5.0,60
Ingibjörg Malmquist,6.0,50
Dísa Edwards,7.0,40
Sigríður Sjöfn Ingvarsdóttir,8.0,30
Jóhanna Júlía Júlíusdóttir,9.0,20
Sólrún Sigþórsdóttir,10.0,10
