Nafn,Skor,Stig
Guðbjörg Valdimarsdóttir,13.09,100
Jóhanna Júlía Júlíusdóttir,13.54,90
Hallgerður María Friðriksdóttir,14.03,80
Birta Líf Þórarinsdóttir,14.44,70
Bryndís María Björnsdóttir,15.04,60
Ingibjörg Malmquist,15.54,50
Sólrún Sigþórsdóttir,16.12,40
Sigríður Sjöfn Ingvarsdóttir,17.32,30
Guðrún Bjarnadóttir,17.57,20
Dísa Edwards,18.34,10
