Nafn,Skor,Stig
Þórkatla Ýr Friðriksdóttir,6.25,100
Úlfhildur Unnarsdóttir,7.53,90
Elísa Mist Benediktsdóttir,7.57,80
Thelma Ósk Björgvinsdóttir,8.02,70
Steinunn Soffía Hauksdóttir,8.09,60
Salka Katrínsdóttir,8.2,50
