Nafn,Skor,Stig
Thelma Ósk Björgvinsdóttir,3.33,100
Þórkatla Ýr Friðriksdóttir,3.38,90
Úlfhildur Unnarsdóttir,3.39,80
Salka Katrínsdóttir,3.45,70
Elísa Mist Benediktsdóttir,4.03,60
Steinunn Soffía Hauksdóttir,4.14,50
