Nafn,Skor,Stig
Úlfhildur Unnarsdóttir,1.0,100
Þórkatla Ýr Friðriksdóttir,2.0,90
Salka Katrínsdóttir,3.0,80
Elísa Mist Benediktsdóttir,4.0,70
Thelma Ósk Björgvinsdóttir,5.0,60
Steinunn Soffía Hauksdóttir,6.0,50
