Nafn,Skor,Stig
Þórkatla Ýr Friðriksdóttir,26.33,100
Elísa Mist Benediktsdóttir,26.35,90
Salka Katrínsdóttir,26.37,80
Thelma Ósk Björgvinsdóttir,28.05,70
Steinunn Soffía Hauksdóttir,28.35,60
Úlfhildur Unnarsdóttir,29.59,50
