Nafn,Skor,Stig
Þórkatla Ýr Friðriksdóttir,6.17,100
Úlfhildur Unnarsdóttir,6.48,90
Steinunn Soffía Hauksdóttir,7.5,80
Thelma Ósk Björgvinsdóttir,8.06,70
Salka Katrínsdóttir,8.38,60
Elísa Mist Benediktsdóttir,8.42,50
