Nafn,Skor,Stig
Þórkatla Ýr Friðriksdóttir,10.52,100
Thelma Ósk Björgvinsdóttir,13.15,90
Úlfhildur Unnarsdóttir,13.39,80
Elísa Mist Benediktsdóttir,14.39,70
Salka Katrínsdóttir,15.21,60
Steinunn Soffía Hauksdóttir,16.19,50
