Nafn,Skor,Stig
Ægir Reynisson,3.15,100
Magnús Gíslason,3.17,90
Elías Árni Jónsson,3.2,80
Evert Víglundsson,3.23,70
Sigtryggur Símonarson,3.32,60
Steinar Sigurðarson,3.43,50
