Nafn,Skor,Stig
Ægir Reynisson,5.38,100
Elías Árni Jónsson,6.44,90
Evert Víglundsson,7.22,80
Steinar Sigurðarson,7.41,70
Magnús Gíslason,7.51,60
Sigtryggur Símonarson,8.09,50
