Nafn,Skor,Stig
Ægir Reynisson,12.23,100
Evert Víglundsson,13.01,90
Elías Árni Jónsson,13.37,80
Magnús Gíslason,15.18,70
Steinar Sigurðarson,16.26,60
Sigtryggur Símonarson,16.34,50
