Nafn,Skor,Stig
Ægir Reynisson,4.5,100
Evert Víglundsson,5.45,90
Magnús Gíslason,7.07,80
Elías Árni Jónsson,8.08,70
Steinar Sigurðarson,8.15,60
Sigtryggur Símonarson,8.39,50
