Nafn,Skor,Stig
Steinar Sigurðarson,1.0,100
Elías Árni Jónsson,2.0,90
Evert Víglundsson,3.0,80
Ægir Reynisson,4.0,70
Magnús Gíslason,5.0,60
Sigtryggur Símonarson,6.0,50
