Nafn,Skor,Stig
Ægir Reynisson,23.21,100
Evert Víglundsson,23.24,90
Elías Árni Jónsson,24.37,80
Magnús Gíslason,24.45,70
Sigtryggur Símonarson,25.51,60
Steinar Sigurðarson,29.3,50
